title|scroll|fullSize|filename|altText|date|originalDate|caption|originalCaption|transcript
Soft and Angry Cowboah|||softarthur.png|A black and white drawing of a heavyset Arthur Morgan from Red Dead Redemption 2|2026-09-13||I am on my second playthrough of Red Dead 2, and I fully intend on completing the story with Arthur at maximum weight!
Evil Scientists|||evilscientists.jpg|Drs. Neo Cortex (left) and Xeno Wingfield (right) walking together while looking sinister. Dr. Cortex is discussing plans of world domination while Dr. Xeno is intently listening with a mischievous smile.|2026-01-06||I drew this out after learning that Dr. Xeno has quite a bit in common with Dr. Cortex! Balding, first name initial engraved on his forehead, and plans to rule the world! It's the best (or worst?) alliance where surely nothing will go wrong!
Heavy Bowgun: Brain Freeze|||202506mhwildsweapon.jpg|An entry for the Original Weapon and Pendant Design Contest in Monster Hunter Wilds, featuring a Heavy Bowgun shaped like an ice cream cone with three scoops, with the upgraded version being topped with several sprinkles, candy pieces, chocolate drizzle, and whipped cream. In the bottom left is a drawing of a Palico enjoying an ice cream cone.||June 2025|This was an entry for the Original Weapon and Pendant Design Contest in Monster Hunter Wilds! It didn't make it past the first round, but I had a lot of fun designing this! I have but a simple desire to wield a Heavy Bowgun that is silly and nonsensical! (The Palico drawing in the bottom left was drawn by Sam!)||
Let's Go Hunting!|||202503hunting.jpg|Three fan characters for Monster Hunter Wilds. Connie the Hunter is riding on top of Gilgamesh the Seikret, while Socks the Palico is holding onto Gilgamesh's tail.||March 2025|Monster Hunter Wilds has taken over my life, and I couldn't be happier! This was originally going to be on the splash page, but oops, I made it way too detailed!\n\nHere are some details about the hunting group here:\n<ul><li><strong>Connie: </strong>Heavy Bowgun user. Currently wearing the Rompololo armor while in the Forbidden Lands. Born and raised in a rider village, but took a different career path in hunting later down the line.</li><li><strong>Socks: </strong>Melynx Palico. Very strict about abiding to safety regulations and always has Connie chug an Armordrug before setting out on a hunt.</li><li><strong>Gilgamesh: </strong>Seikret steed for Connie. Huge troublemaker, no one knows if Connie controls him or if it's the other way around.</li></ul>||
Halloween 2023||TRUE|202310halloween.jpg|Jibansam as the Cheshire Cat (left), Kaybee as Alice (middle), and Whisper as the White Rabbit (left) in the setting of "Alice in Wonderland". Both Jibansam and Whisper are glaring in each other while Kaybee is nervously eating a pumpkin-shaped cookie that reads, "Eat Me". The cursive text above them reads, "Happy Halloween!"||October 2023|Happy Spoopy Day! 🍬🎃\n\nI was thinking about Yokai Watch again, and I wanted to draw these three. :3||
Lock-jawed and Loaded|||202309rayman.jpg|Rayman in his LockJaw costume from Rayman 3. There is a Chain Chomp attached to the end of his chain.||September 2023|I missed Rayman's birthday, but I had to draw something for one of my childhood heroes! The LockJaw costume doesn't appear in the DLC, but how cool would it be to have a Chain Chomp attached at the end?\n\nHappy belated birthday, Rayman! Here's to a new game, hopefully! 🎂||
Dede-divergent|TRUE||202308adhdedede.jpg|A comic with human designs of King Dedede and a Waddle Dee. The Waddle Dee is asking King Dedede if he's figured out why he has some issues with seemingly easy tasks, to which the king reveals he did and found out he has ADHD.||August 2023|We appreciate a neurodivergent king! This was inspired by this Twitter thread:\n\n![A screenshot of a Twitter thread. The original tweet has a screenshot from the Kirby anime with an X-Ray of King Dedede. The subtitles read, "Dedede had a traumatic childhood, and it negatively impacted his attention span." The original poster's text reads, "You can't just drop this line and not elaborate on it, what the hell happened???" Another Twitter user replies to the tweet with, "He has ADHDedede".](/assets/images/art/game/202308adhdedede_1.png)||**Waddle Dee**: Your Majesty! Did you ever find the reason behind your inexplicable forgetfulness? Or why you suddenly lose your focus while reading? Or why you let your mail pile up on your desk?\n\n**King Dedede**: Sure did!\n\n**King Dedede**: I have ADHDedede.
The Nose Knows?|||202307boop.jpg|A two-part image of Ganondorf and Linebeck set in the Super Smash Bros universe. Ganondorf is sitting on a rock with Linebeck looking at him in the eyes. Linebeck is wearing two party hats: one on his head and one over his nose. In the second part of the image, Linebeck gets closer to Ganondorf until his party-hat nose touches the latter's nose. Linebeck says nothing but "boop", causing the Gerudo's face to turn red.||July 2023|-twirls hair- I'm so normal for these two.||
Yokai Watchers||TRUE|202305yokaiwatchers.jpg|A reference of Whisper, Jibansam, and Kaybee as they appear in an alternate universe of Yokai Watch.||May 2023|I wanted to add a self-insert into Yokai Watch, but I ended up making an entire AU oops.\n\nAlso, a friend chart for giggles! ![A friend chart of Kaybee's, Jibansam's, and Whisper's relationships with one another. The arrow from Kaybee to Whisper says, "Has a massive crush". The arrow from Whisper to Kaybee says, "Loves her a lot...as a friend!" The two-sided arrow between Kaybee and Jibansam says, "Best friends!" The two sided-arrow between Jibansam and Whisper says, "FRENEMIES"](/assets/images/art/game/202305yokaiwatchers_friendchart.jpg){.mt-4}||**Text near Whisper**: 450+ years, unofficial Yokai butler, Kaybee's first friend in years. Cooks and cleans when Kaybee is at work. (Coattails) always slightly moving.\n\n**Text near Kaybee**: 30 years, developer at Springdale Tech., kind of a loner. Loves bug catching. Had this sweater since high school.\n\n**Text near Jibansam**: ??? years, definitely a real cat, Kaybee's roommate. Mostly lounges around Kaybee's apartment. Drawstrings (somehow still act like tails????)
Face Reveal|TRUE||202304mask.jpg|A comic strip that consists of four panels. In the first panel, a hunter is asking Kagero why he wears a mask. Another hunter (Sam) steps in and tells the hunter to let the man be ugly in peace. Later, when Kagero's face is revealed, Sam is visibly shocked and blushing at how handsome he is.||April 2023|I never thought we'd ever see Kagero's face reveal! Man, Sunbreak is so good! (Starring Sam's hunter OC!)||**Hunter with goggles**: So uh, Kagero...what's with the mask?\n\n**Hunter with hat**: Hey! Let the man be ugly in peace!\n\n-LATER-\n\n**Hunter with hat**: OH NO HE'S HOT!!
