src|alt|url|freezeframe
yukiki.png|A stamp with an image of Yukiki from the Keroro Gunso/Sgt. Frog anime series|https://deviantart.com/view/107318230||
yourownsite.png|A stamp based on a Windows interface with text that reads, "Maybe you should make your own website"|http://lu.tiny-universes.net/index2.html|
you-are-valid.gif|An animated stamp with text that reads, "If you are trans and you can't/don't take hormones, get surgery, you are valid!"|https://deviantart.com/view/660085138|true
yeet.png|A pastel pink stamp with text that reads in all capital letters, "Yeet"|https://deviantart.com/view/803089155|
windows-updater.gif|An animated stamp that switches through several versions of Windows interfaces. The main text in some message boxes reads, "Upgrade" and a mouse curse clicking on "OK" until eventually the text reads, "Wait, stop...", "No go back", and "Help" until a blue screen of death appears|https://zeusofthecrows.neocities.org/stadt/gallery/|true
washyourhands.gif|An animated pastel pink stamp with text that reads, "Wash your hands" and an image of hands underneath a stream of water|https://deviantart.com/view/808921729|true
venus-flytrap.png|A stamp of a pot of venus fly trap plants with a blue and purple filter|https://deviantart.com/view/629663832|
vaccines.gif|A pastel pink stamp with text that reads, "Vaccines are for our own good and an image of a syringe with pink medicine"|https://deviantart.com/view/809511567|true
trigun_fan.gif|An animated stamp based on the '98 version of Trigun that switches between the logo and a few scenes. One scene has Vash the Stampede removing empty bullets from his custom revolver, and another scene is a stationary image of Vash|https://deviantart.com/view/199256512|true
triggered-jokes.png|A purple stamp with the appearance of a classic Windows user interface. The text reads in capital letters, "Triggered jokes will never be funny"|https://deviantart.com/view/709698048|
treasure_planet.png|A pastel stamp with a lacy border based on Disney's Treasure Planet. The cursive text reads, "Treasure Planet". The bottom left corner has the initials "TP" and the bottom right corner has an image of a planet|https://deviantart.com/view/370657016|
thinger-strangs.gif|An animated stamp based on the Netflix series, "Stranger Things". The stamp is animated like the intro, but instead of the letters forming "Stranger Things" they form "Thinger Strangs"|https://zeusofthecrows.neocities.org/stadt/gallery/|true
spherical.png|A stamp of a scene from Drake & Josh. The text reads, "It's spherical"|https://deviantart.com/view/636000130|
souleater.gif|An animated stamp of Maka Albarn and Soul Evans from Soul Eater|https://devstamps.tumblr.com/post/175558482725|true
snowing.gif|An animated stamp of a snowy landscape|https://deviantart.com/view/689276975|true
sitonyou.png|A stamp of a man from Tim and Eric's Awesome Show. The text reads in all capital letters, "This is what I do I sit on you"|https://deviantart.com/view/661844128|true
serenity-loz.gif|A black stamp with an image of the Triforce from the Legend of Zelda series and text reads, "Lord, give me the courage to change what I can in life, the power to endure what I cannot change, and the wisdom to know the difference"|https://deviantart.com/view/349642137|true
robbie-rotten.gif|An animated stamp of Robbie Rotten from Lazytown from a scene from the musical number, "We are Number One"|https://deviantart.com/view/165305542|true
rent.gif|A pastel pink stamp with pink-bordered white text that reads "Don't make your kids pay rent."|https://deviantart.com/view/811647751|true
rengoku.png|A stamp of Kyojuro Rengoku from Demon Slayer facing the camera. There are various pixel sparkles and hearts around him.|https://deviantart.com/view/819015233|
rayman.png|A stamp with an image of Rayman and the Rayman logo. In the background is a darkened image of how Rayman appears in Rayman 1.|https://deviantart.com/view/622184361|
protectlgbtkids.png|A pastel rainbow stamp with pink-bordered white text that reads, "Protect LGBTQIA+ kids"|https://deviantart.com/view/512937557|
progress.png|A blue and pink gradient stamp with white text that reads in capital letters, "Little progress is better than no progress"|https://deviantart.com/view/534244065|
prochoice.gif|A blue and purple gradient stamp with a lacy white border and wiggly white text that reads, "Pro-choice"|https://deviantart.com/view/578444226|true
ppte.png|A stamp of Popuko and Pipimi from Pop Team Epic|https://deviantart.com/view/725532515|
pleasing-everyone.gif|A pink stamp with text that alternates between "There is no key to success" and "But the key to failure is trying to please everyone"|https://deviantart.com/view/356408020|true
pink_jjba.png|A pink stamp with a lacy border and the Japanese logo for JoJo's Bizarre Adventure|https://deviantart.com/view/691729258|
pbj.png|A pink stamp with an image of a smiling banana with limbs and white text that reads, "It's peanut butter jelly time!" based on an old meme from the early 2000s|https://deviantart.com/view/80263819|
oktocry.gif|A pastel purple stamp with text that reads, "It's ok to cry"|https://deviantart.com/view/690666751|true
no-thoughts.png|A pastel stamp with an image of My Melody and text that reads, "No thoughts, head empty"|https://deviantart.com/view/838936634|
morethanyourmistakes.png|A pink stamp with white text that reads "You are more than your mistakes"|https://deviantart.com/view/594119088|
metal-sonic.png|A pastel stamp with an image of Metal Sonic from the Sonic the Hedgehog franchis with pink-bordered white text that reads in all capital letters, "Metal Sonic"|https://deviantart.com/view/788066917|
meowth.png|A pink stamp with a sprite of Meowth and text that reads "Shut your Meowth!" which is a play on words based on "Shut your mouth!"|https://deviantart.com/view/168989329|
mencry.png|A black and purple stamp with pink text that reads, "Saying men should not cry is SEXIST"|https://deviantart.com/view/623737033|
medievil.gif|A stamp of the cover of the PS1 MediEvil game with the yellow text that reads in all capital letters "MediEvil", with Sir Daniel Fortesque seen at the bottom of the stamp|https://deviantart.com/view/169065888|
mary-sue.png|A pastel purple and white stamp with purple text that reads, "Mary Sue SAFE ZONE"|https://deviantart.com/view/412393351|
mah_boi.gif|A stamp with a red background and a pixel art of the King of Hyrule from the Zelda CD-i games. The text reads "MAH BOI!" which is a corruption of "My boy!"|https://deviantart.com/view/465275243|
made_in_the_90s.gif|A pink purple stamp with white glowing text that reads "Made in the 90's"|https://deviantart.com/view/82151512|true
luckycharms.gif|A animated stamp with alternating images of the Lucky Charms marshmallows and flashing text that reads, "Lucky Charms"|https://deviantart.com/view/212859832|true
lovecereal.gif|A pink stamp with a blue bowl with cereal and milk. The text reads "I love cereal". The letter "o" in "love" is replaced by a pixel heart|https://deviantart.com/view/476084744|true
